+-------------------------------------------------------------------------------------+
| actor                                                             | number of films |
| Erwin Connelly                                                    |               1 |
| Mario Casas                                                       |               1 |
| Ana Wagener                                                       |               1 |
| Jose Coronado                                                     |               1 |
| Bárbara Lennie                                                    |               1 |
| Min-hee Kim                                                       |               1 |
| Jung-woo Ha                                                       |               1 |
| Jin-woong Cho                                                     |               1 |
| So-Ri Moon                                                        |               1 |
| Patrick Stewart                                                   |               1 |
| Dafne Keen                                                        |               1 |
| Boyd Holbrook                                                     |               1 |
| Brie Larson                                                       |               1 |
| Jacob Tremblay                                                    |               1 |
| Sean Bridgers                                                     |               1 |
| Wendy Crewson                                                     |               1 |
| Darío Grandinetti                                                 |               1 |
| María Marull                                                      |               1 |
| Mónica Villa                                                      |               1 |
| Diego Starosta                                                    |               1 |
| Anushka Sharma                                                    |               1 |
| Sanjay Dutt                                                       |               1 |
| Boman Irani                                                       |               1 |
| Mathieu Amalric                                                   |               1 |
| Rosamund Pike                                                     |               1 |
| Neil Patrick Harris                                               |               1 |
| Tyler Perry                                                       |               1 |
| Andrew Garfield                                                   |               1 |
| Sam Worthington                                                   |               1 |
| Luke Bracey                                                       |               1 |
| Teresa Palmer                                                     |               1 |
| Amy Poehler                                                       |               1 |
| Bill Hader                                                        |               1 |
| Lewis Black                                                       |               1 |
| Mindy Kaling                                                      |               1 |
| Chiwetel Ejiofor                                                  |               1 |
| Michael Kenneth Williams                                          |               1 |
| Michael Fassbender                                                |               1 |
| Daniel Brühl                                                      |               1 |
| Olivia Wilde                                                      |               1 |
| Jon Bernthal                                                      |               1 |
| Caitriona Balfe                                                   |               1 |
| Michael Keaton                                                    |               1 |
| Rachel McAdams                                                    |               1 |
| Liev Schreiber                                                    |               1 |
| Emma Stone                                                        |               1 |
| Octavia Spencer                                                   |               1 |
| Bryce Dallas Howard                                               |               1 |
| Jake Gyllenhaal                                                   |               1 |
| Melissa Leo                                                       |               1 |
| Charlize Theron                                                   |               1 |
| Nicholas Hoult                                                    |               1 |
| Zoë Kravitz                                                       |               1 |
| Bee Vang                                                          |               1 |
| Christopher Carley                                                |               1 |
| Ahney Her                                                         |               1 |
| Daniel Radcliffe                                                  |               1 |
| Emma Watson                                                       |               1 |
| Rupert Grint                                                      |               1 |
| Michael Gambon                                                    |               1 |
| Emily Mortimer                                                    |               1 |
| Richard Gere                                                      |               1 |
| Joan Allen                                                        |               1 |
| Cary-Hiroyuki Tagawa                                              |               1 |
| Sarah Roemer                                                      |               1 |
| Philip Seymour Hoffman                                            |               1 |
| Eric Bana                                                         |               1 |
| Barry Humphries                                                   |               1 |
| Gerard Butler                                                     |               1 |
| Christopher Mintz-Plasse                                          |               1 |
| Craig Ferguson                                                    |               1 |
| Emile Hirsch                                                      |               1 |
| Vince Vaughn                                                      |               1 |
| Catherine Keener                                                  |               1 |
| Marcia Gay Harden                                                 |               1 |
| Tommy Lee Jones                                                   |               1 |
| Javier Bardem                                                     |               1 |
| Josh Brolin                                                       |               1 |
| Hilary Swank                                                      |               1 |
| Don Cheadle                                                       |               1 |
| Sophie Okonedo                                                    |               1 |
| Xolani Mali                                                       |               1 |
| Sang-kyung Kim                                                    |               1 |
| Roe-ha Kim                                                        |               1 |
| Jae-ho Song                                                       |               1 |
| David Carradine                                                   |               1 |
| Daryl Hannah                                                      |               1 |
| Ellen DeGeneres                                                   |               1 |
| Alexander Gould                                                   |               1 |
| Emilio Echevarría                                                 |               1 |
| Goya Toledo                                                       |               1 |
| Álvaro Guerrero                                                   |               1 |
| Raghuvir Yadav                                                    |               1 |
| Gracy Singh                                                       |               1 |
| Rachel Shelley                                                    |               1 |
| Haley Joel Osment                                                 |               1 |
| Olivia Williams                                                   |               1 |
| Laura Linney                                                      |               1 |
| Noah Emmerich                                                     |               1 |
| Jeff Bridges                                                      |               1 |
| Julianne Moore                                                    |               1 |
| Tony Chiu-Wai Leung                                               |               1 |
| Maggie Cheung                                                     |               1 |
| Ping Lam Siu                                                      |               1 |
| Tung Cho `Joe` Cheung                                             |               1 |
| Ewan McGregor                                                     |               1 |
| Ewen Bremner                                                      |               1 |
| Jonny Lee Miller                                                  |               1 |
| Kevin McKidd                                                      |               1 |
| William H. Macy                                                   |               1 |
| Peter Stormare                                                    |               1 |
| Vincent Cassel                                                    |               1 |
| Hubert Koundé                                                     |               1 |
| Saïd Taghmaoui                                                    |               1 |
